,vx,vy,vz,x,y,z
Aqu II,91.91930708800545,231.84410166864012,130.41425651504719,0.02855746574228766,0.05325220282929204,-0.08627562655406687
Boo I,125.39304510552728,-147.800941851947,68.39150305142077,0.014865556250961824,-0.00077053009432289,0.06182315944071465
Boo II,-361.8299333782053,-182.17080704457484,8.912127100860758,0.006883033439393447,-0.0016485107837120579,0.03915191841936279
CanVen I,-74.50127713993355,85.0508596712795,68.53476733911228,0.002813611627652225,0.03709559681297946,0.21455999352268046
CanVen II,-0.9154860245556492,-222.19278540269823,-69.93267996385481,-0.01591368882646928,0.018626084241784704,0.15875664455182137
Car I,-36.156418651460406,-65.4750407288619,156.0092933738886,-0.025215014214789437,-0.09630544436652988,-0.03985410070954303
Car II,128.911812666815,-311.7409640812329,151.36976416458202,-0.008345765705088172,-0.03459228414761286,-0.010641260351596633
Car III,-9.343029849079496,-170.78568528049007,356.27990011203497,-0.008323391260564916,-0.026607033277354232,-0.008029378278747496
ComBer I,259.8415835358769,-24.534531486392222,92.92541803058826,-0.010367772011857622,-0.004120052196102872,0.04177324901941252
Cra I,47.38188507622575,48.076194895595904,39.65051127738425,0.00026085696958189785,-0.0975681281361259,0.10816572040980671
Cra II,-37.24047783405418,93.47071708607992,0.0010392441351881022,0.01145377393361783,-0.08507596363896344,0.07862802137557816
Dra I,51.80771599926377,-14.66406390016413,-151.88671417755006,-0.004266868706948167,0.06235074353728816,0.043294990322576804
Dra II,18.18440123342983,93.27903591888597,-354.2392794550827,-0.010783838548437412,0.017402760132890403,0.016366347222610808
Eri II,-689.1105988026721,314.6170182230679,43.44256211795314,-0.08770939968109556,-0.2131028106426331,-0.2867435221319738
Frn I,40.17696712980878,-145.67895083040958,83.15767523589162,-0.041488085621465415,-0.050945569179760224,-0.13380908272349187
Gru I,110.51460260231578,63.32192040602914,267.0097878994642,0.05029797564921222,-0.0230006217857189,-0.1023707235783794
Her I,131.73823677217882,-90.60766511812838,148.57364856868003,0.08455746746621642,0.05075561506909554,0.07892799131527081
Hor I,-21.38678400386948,-184.66431896475257,163.27501217753348,-0.007319009922675047,-0.05020442580229119,-0.07101913553523082
Hyd II,-165.05974116366974,-111.19805099395813,209.13964643329822,0.04822176419668675,-0.11736073762424158,0.07639945839162654
Leo I,-138.97644459041422,-53.664809695361306,112.9276375643846,-0.1250950126377161,-0.12151863814390222,0.19562703923393593
Leo II,96.59880130842225,18.57506483089644,61.08201707532385,-0.076506940817507,-0.05816663682663711,0.21509315166936757
Leo IV,-212.89164206654667,-248.90847180336388,-162.42289157390033,-0.014634261729694946,-0.08469688100145908,0.1284883362868937
Leo V,176.47017785274636,-282.180985781037,-88.76939219203187,-0.020620389692512987,-0.08938892976250197,0.14763061158053745
Phe I,-40.55758687411765,60.751504386783445,49.90366363610159,-0.003938764245365082,-0.14895460184010384,-0.3872952257970756
Pis II,316.35105180094337,-237.6226166019316,-60.274392769969616,0.014573611922665923,0.12235451718387065,-0.1341190845918964
Ret II,14.556820749219156,-126.43473229479011,225.96004146954004,-0.0097143314441628,-0.02063777448849033,-0.024387786636450616
Sgr I,233.9550041169031,-34.87128047471003,207.9411106627035,0.01676954787858732,0.002446372426182574,-0.006417783395207551
Scu I,16.227228825811704,157.23509119169668,-96.18582549842642,-0.005558918749585303,-0.009532725898462208,-0.08328460694209973
Seg 1,-98.44239112490413,-225.52896667792643,-36.37113322258006,-0.019387754195386974,-0.009515183312715308,0.01778993949692595
Seg 2,-73.60603748117825,-22.599720997374384,0.424988595434796,-0.03207391004786258,0.014000095489398226,-0.02150893367426614
Sext I,-229.18766484144774,67.7178921036194,61.36742903765111,-0.03862820367101341,-0.06125844540867138,0.06234754448115049
Tri II,218.052660523424,-2.0983051521573834,254.53727904763917,-0.02963700538230262,0.017308807435735825,-0.012020220111040467
Tuc II,-244.15123884223937,-87.30552020533597,134.2937783552831,0.021604942644549954,-0.018752543991263228,-0.045995159074490206
Tuc III,39.96627996317837,115.0477024995037,198.89598024656408,0.0015350769753359774,-0.00977334154970956,-0.02077573827336533
U Maj I,-192.26068900227685,-168.62698026043807,-95.42832001384552,-0.06108513222195086,0.019893954913109718,0.07930654173697026
U Maj II,170.3978900634802,-117.64543939828722,210.07755044510537,-0.03266028548716088,0.012738346013506836,0.02120243133493262
U Min I,-4.79688028185755,27.691831841773627,-148.1017753102375,-0.022051603004129262,0.0520978706933499,0.05362461259803626
Wil 1,93.70042854389186,-27.984956073591302,104.10343901426421,-0.031126171031837974,0.009007215514852266,0.03774747162793965
Hyd I,-220.01084180432983,-236.81339046656362,263.604349836496,0.0023536807129957483,-0.019150300228586555,-0.016751737263214515
