,vx,vy,vz,x,y,z
Triangulum~II,211.3743925177007,-5.139585592292998,261.99572965610736,-0.02963700538230262,0.017308807435735825,-0.012020220111040467
Segue~2,-146.17770616402572,31.953324345105774,116.00220906844784,-0.03207391004786258,0.014000095489398226,-0.02150893367426614
Hydrus~I,-168.3985158850772,-204.51763577518219,281.46840903429035,0.0018294854033749388,-0.019631729285358238,-0.016518380636775163
Horologium~I,-12.834572627588912,-193.88748729463956,169.91060362034142,-0.007319009922675047,-0.05020442580229119,-0.07101913553523082
Reticulum~II,12.43447567051517,-123.86167066914095,225.87400864763583,-0.0097143314441628,-0.02063777448849033,-0.024387786636450616
Carina~II,130.7171665523481,-312.55754056554645,154.00979564753942,-0.008345765705088172,-0.03459228414761286,-0.010641260351596633
Carina~III,-9.108544992959777,-170.29258271005133,354.6506951218237,-0.008323391260564916,-0.026607033277354232,-0.008029378278747496
Ursa~Major~II,168.9828907440752,-112.31307375086465,205.24197630290945,-0.03266028548716088,0.012738346013506836,0.02120243133493262
Segue~1,-121.80396298793647,-207.03438401355174,-41.046544521902106,-0.019387754195386974,-0.009515183312715308,0.01778993949692595
Ursa~Major~I,-186.52923640330954,-128.77034902312315,-101.61365205687083,-0.06108513222195086,0.019893954913109718,0.07930654173697026
Willman~1,121.23358722126363,20.837210824353875,109.10671736311873,-0.031126171031837974,0.009007215514852266,0.03774747162793965
Coma~Berenices,273.70919461457135,-18.7848324728669,94.17977568772888,-0.010367772011857622,-0.004120052196102872,0.04177324901941252
"Bo{\""o}tes~II",-328.9186840283847,-172.06617727126945,-3.433804404050193,0.006883033439393447,-0.0016485107837120579,0.03915191841936279
"Bo{\""o}tes~I",139.4614864390346,-125.51866104097223,63.39550514301768,0.014865556250961824,-0.00077053009432289,0.06182315944071465
Draco~II,12.134427497707089,88.55358092831793,-350.1259856292749,-0.010783838548437412,0.017402760132890403,0.016366347222610808
Tucana~II,-247.4332715226303,-104.50275226830611,139.16845178149262,0.021604942644549954,-0.018752543991263228,-0.045995159074490206
Tucana~III,28.34944506031782,112.39513071096111,194.6500264648165,0.0015350769753359774,-0.00977334154970956,-0.02077573827336533
